,Interval,Well,Compound,Calcium,Concentration,Mean,Std
153,96,53,14,low,4,17.666666666666668,7.176350047203662
154,96,54,14,low,5,14.777777777777779,8.227663364798321
155,96,55,14,low,1,16.444444444444443,8.733715004382601
156,96,56,14,high,2,13.222222222222221,11.562631380634965
157,96,57,14,high,3,73.22222222222223,34.67988530033576
158,96,58,14,high,4,10.666666666666666,4.092676385936225
159,96,59,14,high,5,9.11111111111111,6.132789830991366
160,96,62,21,low,1,10.666666666666666,7.615773105863909
161,96,63,21,low,2,8.444444444444445,4.9525526527012085
162,96,64,21,low,3,6.333333333333333,4.242640687119285
163,96,65,21,low,4,10.88888888888889,4.702245326555295
164,96,66,21,low,5,6.444444444444445,4.558264777059114
165,96,67,21,low,1,26.0,12.103718436910205
166,96,68,21,high,2,7.222222222222222,4.1466184348749096
167,96,69,21,high,3,68.77777777777777,40.50548659681111
168,96,70,21,high,4,7.555555555555555,4.419024527854284
169,96,71,21,high,5,6.666666666666667,5.172040216394301
170,96,74,Negative,low,1,6.625,3.3354160160315836
171,96,75,Negative,low,2,10.0,4.780914437337575
172,96,76,Negative,low,3,9.333333333333334,7.826237921249264
173,96,77,Negative,low,4,8.777777777777779,5.868938953886336
174,96,78,Negative,low,5,9.88888888888889,4.648775226993784
175,96,79,Negative,low,1,11.444444444444445,12.360330811826106
176,96,80,Negative,high,2,12.333333333333334,6.123724356957944
177,96,81,Negative,high,3,9.444444444444445,5.126185499743233
178,96,82,Negative,high,4,10.444444444444445,4.772607021092118
179,96,83,Negative,high,5,8.88888888888889,7.688375063113864
