,k1,k10,k11,k12,k13,k17,k18,k19,k2,k3,k5,k8,modified,fixed
53,0.05994842503189409,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,3
54,0.1,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k1,3
55,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k2,1
56,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.1,0.01,1.0,1.0,k2,1
57,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.16681005372000587,0.01,1.0,1.0,k2,1
58,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.2782559402207124,0.01,1.0,1.0,k2,1
59,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.46415888336127786,0.01,1.0,1.0,k2,1
60,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,0.774263682681127,0.01,1.0,1.0,k2,1
61,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.291549665014884,0.01,1.0,1.0,k2,1
62,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,2.1544346900318834,0.01,1.0,1.0,k2,1
63,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,3.593813663804626,0.01,1.0,1.0,k2,1
64,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,5.994842503189409,0.01,1.0,1.0,k2,1
65,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,10.0,0.01,1.0,1.0,k2,1
66,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k2,1
67,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.1,0.01,1.0,1.0,k2,1
68,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.16681005372000587,0.01,1.0,1.0,k2,1
69,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.2782559402207124,0.01,1.0,1.0,k2,1
70,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.46415888336127786,0.01,1.0,1.0,k2,1
71,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,0.774263682681127,0.01,1.0,1.0,k2,1
72,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.291549665014884,0.01,1.0,1.0,k2,1
73,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,2.1544346900318834,0.01,1.0,1.0,k2,1
74,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,3.593813663804626,0.01,1.0,1.0,k2,1
75,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,5.994842503189409,0.01,1.0,1.0,k2,1
76,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,10.0,0.01,1.0,1.0,k2,1
77,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.0,1.0,k2,1
78,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.1,0.01,1.0,1.0,k2,1
79,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.16681005372000587,0.01,1.0,1.0,k2,1
80,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.2782559402207124,0.01,1.0,1.0,k2,1
81,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.46415888336127786,0.01,1.0,1.0,k2,1
82,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,0.774263682681127,0.01,1.0,1.0,k2,1
83,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.291549665014884,0.01,1.0,1.0,k2,1
84,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,2.1544346900318834,0.01,1.0,1.0,k2,1
85,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,3.593813663804626,0.01,1.0,1.0,k2,1
86,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,5.994842503189409,0.01,1.0,1.0,k2,1
87,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,10.0,0.01,1.0,1.0,k2,1
88,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k2,3
89,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.1,0.01,1.0,1.0,k2,3
90,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.16681005372000587,0.01,1.0,1.0,k2,3
91,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.2782559402207124,0.01,1.0,1.0,k2,3
92,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.46415888336127786,0.01,1.0,1.0,k2,3
93,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,0.774263682681127,0.01,1.0,1.0,k2,3
94,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.291549665014884,0.01,1.0,1.0,k2,3
95,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,2.1544346900318834,0.01,1.0,1.0,k2,3
96,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,3.593813663804626,0.01,1.0,1.0,k2,1
97,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,5.994842503189409,0.01,1.0,1.0,k2,0
