Run Number,Path,Solution Number,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11
0,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0000/,1,90.65124025264899,2.673106644730531,10.49959375736544,17.8544629169357,35.96947773780924,32.0500833161416,0.0954537669227113,15.5631141721812,2.393309003324918,0.6410016663228317,45.4330974203618
1,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0001/,1,124.70107664733082,0.4660764633615945,4.6407461340668315,44.46821753106844,35.33968171369081,5.490331289813808,0.04145117911774887,6.758344421372098,0.7864776254606473,0.10980662579627616,57.00568961368017
2,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0002/,1,119.24200925653084,0.7062435529411991,6.680379829379881,41.724010615786355,34.904622023065556,8.217054757213148,0.05893462700049853,9.608906576168238,1.1305310477238724,0.16434109514426296,54.19159925789807
3,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0003/,1,112.5456246761496,1.028449012080985,8.997795973110028,38.10623761076211,34.46563205057851,11.81538174438807,0.07838064484982314,12.77945296464508,1.530171125078989,0.2363076348877614,50.98843622480966
4,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0004/,1,105.2603109448634,1.428178067001796,11.12185104124219,33.63392956118062,34.17641049192677,16.26999995780664,0.09607048101272307,15.6636653825092,1.929157213925045,0.3253999991561327,47.90536691248282
5,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0005/,1,98.46711570815634,1.8794204329027748,12.342736390848895,28.431618270837976,34.25765426107004,21.46151180052461,0.1068699286374095,17.424444886534157,2.246894283576881,0.42923023601049226,45.641776332808426
6,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0006/,1,93.31235081346219,2.332149514352189,12.02281621785007,22.74891289820978,34.91840364745469,27.14497936945504,0.1061077323352003,17.30017375030439,2.405965366111656,0.5428995873891008,44.83255764874019
7,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0007/,1,90.34978929743716,2.724328013751969,10.15785445861988,17.04911635200323,36.18285541780577,32.85798887742182,0.09289477057495835,15.14588650678668,2.379161224947029,0.6571597775484364,45.63493707291209
8,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0008/,1,89.15910295128793,3.015379665626982,7.559732508392233,11.96596521798192,37.76824990732526,37.96187092562226,0.0721638563958049,11.76584615148993,2.221313973705741,0.7592374185124448,47.4853525489666
9,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0009/,1,88.88440107582372,3.207314827415086,5.143082926534674,7.959074746120556,39.27572408365295,41.98987073698795,0.05105451689147485,8.324106014914376,2.025513875481761,0.8397974147397592,49.53485861121114
10,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0010/,1,88.92647224328454,3.3261081106395034,3.314250493195957,5.096188816724195,40.47064203039581,44.86991023336249,0.033900949913313355,5.527328790214134,1.8546115557005751,0.8973982046672498,51.25001941902224
11,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0011/,1,143.4449192735081,4.221384373750222,16.54772524371457,12.99060237578904,26.22342651518382,36.89972097246143,0.1096766517495169,17.88206278524731,2.752141405416595,0.7379944194492286,52.40437487470303
12,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0012/,1,180.8044324109853,0.8816402299616892,11.45295083510504,42.34497781070388,25.79404566534814,7.580356117346615,0.0746660719495032,12.173816078723346,1.3474017627629464,0.1516071223469323,60.533129370818635
13,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0013/,1,171.38083970265362,1.3193115049340867,16.220113235953047,38.88966599727016,25.0305984462706,11.007718835183358,0.10261516754648493,16.730733839100804,1.8694590782527747,0.22015437670366717,56.149054259672155
14,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0014/,1,160.6677294858463,1.890330453521852,21.29344999172728,34.56806422783697,24.28344570325852,15.30124564310465,0.1306901290583592,21.30817321603682,2.419389305168527,0.3060249128620932,51.682966862674
15,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0015/,1,150.5564371447911,2.5684495485771013,25.14894403150659,29.463083226811438,23.810747498063336,20.385567887561372,0.15134888562718682,24.676448743563068,2.8818003210346435,0.40771135775122747,48.22329207958772
16,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0016/,1,143.7805832535928,3.271983641015347,25.61986213715467,23.710587210892374,23.96184182087043,26.13425148216181,0.1551613069458151,25.298039175948116,3.111447148652081,0.5226850296432363,47.10598682488614
17,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0017/,1,142.0600009879827,3.8677068071667104,21.72040086512118,17.703221021148927,24.944887639121657,32.159837241946526,0.13694173690454903,22.32745710400256,3.018921170826631,0.6431967448389305,49.065537341210224
18,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0018/,1,143.79067574466188,4.267500387598738,15.661261872529018,12.267713427161311,26.451724577628312,37.62758162922797,0.10470494361072229,17.071458197400375,2.6994016030376735,0.7525516325845593,53.02486398934908
19,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0019/,1,146.2080965318108,4.499423644696662,10.2643266577444,8.049687598571769,27.92215923568006,41.87787449200138,0.07243790942687056,11.81052871090281,2.342904876163099,0.8375574898400275,57.08684968741402
20,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0020/,1,148.11050319884322,4.6290533417993975,6.42931059085368,5.1018644905691195,29.06700264092716,44.85090190369193,0.04723360573895332,7.70113137048152,2.0540311431950578,0.8970180380738385,60.280816807322424
21,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0021/,1,149.38096069276406,4.702221911360064,3.9432532020809066,3.1646373654823186,29.861798440722723,46.80560098019472,0.029761654322959488,4.85244363961296,1.850592844250234,0.9361120196038945,62.49905305581019
22,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0022/,1,201.1883910734811,5.912047235540041,23.14123583976336,10.008501961034629,20.23317218774988,39.87315656626411,0.11834147270126372,19.29480533172778,2.971316787506879,0.7974631313252821,56.70324256169018
23,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0023/,1,234.36564121832697,1.454433806004219,24.045712432791724,40.487336123263795,19.378451333859104,9.394891575990744,0.11777230074546131,19.202005556325215,2.048431258461642,0.18789783151981487,59.183214019834224
24,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0024/,1,218.591356022868,2.163507496686568,34.19835949969257,36.62066946435348,18.33255355489377,13.2208723498069,0.1584581858396193,25.83557377819881,2.773498958088497,0.264417446996138,52.79395626182277
25,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0025/,1,201.31732413682624,3.0752450204690276,44.975657938818024,32.035231740496386,17.332995355616895,17.767735885724548,0.1970323737790657,32.12484355093463,3.4885176832577223,0.35535471771449095,46.69828869247626
26,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0026/,1,187.29580815844926,4.122871095488919,52.08929262541144,26.75243931208063,16.75553256726898,23.02696697037217,0.22059371754719737,35.96636699139088,3.9997147723191255,0.46053933940744346,42.81784632961357
27,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0027/,1,184.48869898925938,5.08640219965151,48.251010239927055,20.623158106150743,17.202953322687204,29.167046540339484,0.20979535350977202,34.20576415920196,4.0219416988567644,0.5833409308067897,43.98599988844728
28,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0028/,1,193.07093447375863,5.672842314187236,34.38088763340462,14.366728209549295,18.757936211801177,35.470271423043584,0.16300036740711735,26.57614685985609,3.509113653798068,0.7094054284608717,50.44739784608379
29,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0029/,1,202.3550789876399,5.938689402433904,21.551497493391114,9.383819097826306,20.461446785638625,40.504725728112454,0.11145517406123594,18.172039249114555,2.8869693827619125,0.8100945145622491,57.66945006792266
30,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0030/,1,208.5940862792448,6.060628591947223,13.05333441249919,5.928117007120031,21.77993227657116,44.00002676202044,0.07185623085952052,11.71568981405226,2.397844265753423,0.880000535240409,63.22653310838277
32,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0032/,1,214.65627815587143,6.154216856100625,4.700517423552689,2.245636195225825,23.265376240298913,47.726723540523516,0.027640264250656896,4.506564823476667,1.8464056699755589,0.9545344708104704,69.42711879543839
33,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0033/,1,261.67995776112105,7.68143011112806,30.034982371388345,8.068232458371495,16.328137785265938,41.807816414129874,0.12395112749863116,20.209422961733342,3.1135014049033636,0.8361563282825974,59.51278151981476
33,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0033/,2,69.6175621658447,10.805063105336961,223.38267092996222,20.83180815286995,7.973488048273938,28.718013843749983,0.45017800338006564,73.3985875076194,7.614210466013484,0.5743602768749997,10.439353701218181
34,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0034/,1,280.38375249684435,2.2039220810868443,46.1512320561306,39.00108791493943,14.737818719122382,10.827001367376281,0.17191071768428853,28.028921361568784,2.9034708062856165,0.21654002734752564,54.11324908567569
35,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0035/,1,252.0823468393478,3.2799721280449945,68.15838979992411,35.13962017225237,13.381088595064535,14.629865878237476,0.23051394951015086,37.58379611578547,3.896605218999387,0.29259731756474955,44.84591275258586
36,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0036/,1,217.30844579476064,4.66975429092466,96.07506358266834,31.09401880395522,11.95924486439841,18.61557834058106,0.29040285546372385,47.348291651694105,4.91451018217329,0.37231156681162114,35.405641734922575
37,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0037/,1,179.19073444777766,6.306754969925817,127.40115670341541,27.231509545086972,10.667136576031913,22.42500553858891,0.34348491632411915,56.00297548762813,5.825023911019454,0.44850011077177815,27.05636391454873
38,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0038/,1,193.87885152164972,7.691944315441591,105.00176682949868,19.986771027375816,11.585791639214177,29.70575471304807,0.30747425957611224,50.13167275697482,5.5032865350331255,0.5941150942609614,32.185133974516916
39,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0039/,1,51.04949793719398,7.919316613682492,253.405768816096,29.964517753776644,7.4100656131958536,19.56088523968642,0.4745970065369347,77.37994671797848,7.705781655244613,0.3912177047937284,7.112988308787318
39,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0039/,2,95.12621627338353,9.629903388093854,201.08338962876041,22.364382613919364,8.475126676318428,27.204883698267814,0.4307336878128188,70.2283186651335,7.277151828140317,0.5440976739653564,13.475305156442396
39,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0039/,3,244.0074602249856,7.697496783402865,50.08739990581367,12.08994011843713,14.702416795765,37.72393533121646,0.1861245503464062,30.3463940782184,3.923586315132585,0.7544787066243291,50.27312410425967
40,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0040/,1,263.7514453003365,7.678993820003154,27.64547941614433,7.528476798327262,16.547441738156742,42.355900948055954,0.11562225361678434,18.851454394040925,3.0050108326934435,0.847118018961119,60.74897501614777
40,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0040/,2,65.74562005002778,10.981167558895276,226.7986937424545,20.62379081996937,7.901690531408205,28.923262574643253,0.4529466053873797,73.8499900088119,7.661896958049993,0.5784652514928651,10.007957250237036
40,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0040/,3,27.928605960319047,7.912436681298121,277.19256310730293,31.025626788184045,7.007978960736038,18.48339659689777,0.49097661491818606,80.0505350410086,7.919151121679724,0.3696679319379554,4.652666944637685
41,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0041/,1,43.270825166076555,12.001107977055451,246.73776400251452,19.503227195228526,7.506469950418004,30.02865213382951,0.4681206709419637,76.32402243618974,7.922669628144341,0.6005730426765902,7.64626494257133
41,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0041/,2,16.02894917001693,7.910585783209874,289.40121669717047,31.52250682978658,6.818244820610678,17.97877018145573,0.4987229887576918,81.31353077571062,8.020207936809049,0.3595754036291146,3.488441063240547
41,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0041/,3,273.7963212443291,7.665284881085211,15.90805585009961,4.647860817098333,17.72180115841552,45.28088482840029,0.07125435450138441,11.61755779913876,2.427241862372775,0.9056176965680057,67.32778148350494
42,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0042/,1,9.386598766481871,7.909869224877993,296.2076329704011,31.7872007761863,6.716900185574589,17.70993402148457,0.5028652023291473,81.98889168410012,8.07427605558175,0.3541986804296914,2.865733394313856
42,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0042/,2,279.32097054169583,7.656228204579802,9.325928689156312,2.8418174871847106,18.46130994824721,47.11466730641999,0.04351520639530336,7.094870607929895,2.06616811512215,0.9422933461283998,71.43535798257234
42,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0042/,3,27.54930488665162,12.714776543684465,260.77905786315597,18.792646604406173,7.250492689085873,30.729464791114918,0.4778886044789102,77.91662029547449,8.0902130109171,0.6145892958222984,6.128084708700244
43,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0043/,1,17.15299812319381,13.18744016766626,270.1000318367157,18.35070117820056,7.089768949375293,31.16530127415494,0.4839975476444857,78.91264363768786,8.194922252891933,0.6233060254830989,5.179359134561778
43,/Users/cthoyt/dev/notebooks/bit/ms/optimization/input0043/,2,5.55305190025063,7.909538515218178,300.1333314329065,31.936103350843062,6.659818497532267,17.558696970197975,0.505199678958963,82.36951287374397,8.104756093490384,0.3511739394039595,2.514738595829421
